# Test data for ascii data reference state
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 61
# Columns: depth (m), temperature_scaling
depth temperature_scaling
73800.73801 16.98473
84870.84871 16.56489
95940.95941 16.10687
118081.18081 15.68702
137453.87454 15.38168
156826.56827 15.13359
178966.78967 14.88550
201107.01107 14.59924
217712.17712 14.27481
223247.23247 13.96947
239852.39852 13.62595
267527.67528 13.18702
303505.53506 12.70992
328413.28413 12.21374
350553.50554 11.75573
383763.83764 11.25954
405904.05904 10.57252
411439.11439 9.80916
425276.75277 9.23664
455719.55720 8.77863
488929.88930 8.35878
516605.16605 8.54962
544280.44280 8.77863
577490.77491 8.35878
616236.16236 8.03435
677121.77122 7.65267
726937.26937 7.34733
809963.09963 6.96565
898523.98524 6.64122
970479.70480 6.37405
1047970.47970 6.12595
1130996.30996 5.91603
1197416.97417 5.76336
1269372.69373 5.59160
1335793.35793 5.45802
1413284.13284 5.26718
1479704.79705 5.15267
1551660.51661 5.01908
1629151.29151 4.88550
1684501.84502 4.77099
1756457.56458 4.69466
1817343.17343 4.58015
1894833.94834 4.46565
1983394.83395 4.37023
2049815.49815 4.27481
2127306.27306 4.19847
2204797.04797 4.08397
2276752.76753 4.00763
2343173.43173 3.95038
2409594.09594 3.89313
2487084.87085 3.81679
2542435.42435 3.75954
2608856.08856 3.74046
2658671.58672 3.83588
2714022.14022 3.89313
2774907.74908 4.00763
2813653.13653 4.19847
2846863.46863 4.54198
2869003.69004 5.11450
2874538.74539 5.53435
2880073.80074 5.87786
