# Test data for ascii data reference state
# Only next line is parsed in format: [nx] because of keyword "POINTS:"
# POINTS: 40
# Columns: depth (m), viscosity (Pa.s)
depth viscosity
1.274200000000000045e+03 3.800111042481646626e+22
9.683919999999999709e+04 1.525575956427869834e+22
1.924042000000000116e+05 2.542572954853549670e+20
2.879692000000000116e+05 3.013999986999755407e+20
3.835342000000000116e+05 4.325462610792887747e+20
4.790992000000000116e+05 4.553923409881628017e+20
5.746641999999999534e+05 6.221496797043513098e+20
6.702291999999999534e+05 3.852056640034138751e+21
7.657941999999999534e+05 7.275812090259181666e+21
8.613591999999999534e+05 1.004582089973881740e+22
9.569241999999999534e+05 1.378246184323324995e+22
1.052489199999999953e+06 1.821454805435730520e+22
1.148054199999999953e+06 2.340849290318788428e+22
1.243619199999999953e+06 2.998136534338437854e+22
1.339184199999999953e+06 3.737448926305252593e+22
1.434749199999999953e+06 4.556086781250286020e+22
1.530314199999999953e+06 5.478678889789770433e+22
1.625879199999999953e+06 6.440000079571283293e+22
1.721444199999999953e+06 7.427843605679059239e+22
1.817009199999999953e+06 8.409636397100584613e+22
1.912574199999999953e+06 9.352733528213924138e+22
2.008139199999999953e+06 1.022984080341004882e+23
2.103704200000000186e+06 1.091321200373084224e+23
2.199269200000000186e+06 1.114954539623567296e+23
2.294834200000000186e+06 1.078340903497932021e+23
2.390399200000000186e+06 9.181136569515333019e+22
2.485964200000000186e+06 5.851981839113718124e+22
2.581529200000000186e+06 2.651150248645206265e+22
2.677094200000000186e+06 6.163891930116527227e+21
2.772659200000000186e+06 1.558260128523329733e+21
2.772659200000000186e+06 1.558260128523329733e+21
2.779030200000000186e+06 1.405869649040427975e+21
2.785401200000000186e+06 1.253516724784052044e+21
2.791772200000000186e+06 1.101234179439477260e+21
2.798143200000000186e+06 9.490976671770374308e+20
2.804514200000000186e+06 7.973123601975739679e+20
2.810885200000000186e+06 6.466011804821916221e+20
2.817256200000000186e+06 4.953982310218169057e+20
2.823627200000000186e+06 3.351121303365015306e+20
2.829998200000000186e+06 1.883956080429917471e+20
